name,supplier,category,date,price,notes,waspaid
תדלוק,ביילסול,דלק,02/12/2022,200,רכב של יהודית,TRUE
ביטוח לעסק,הפניקס אלמנטרי,מנהלי,05/12/2022,1214,תשלום 2/4,TRUE
פנסיה לעובדים,כלל,ערייה וממשלה,06/12/2022,125,נובמבר,TRUE
פנסיה לעובדים,אינפיניטי,ערייה וממשלה,06/12/2022,688,נובמבר,TRUE
ביטוח לאומי מעסיקים,ביטוח לאומי,ערייה וממשלה,06/12/2022,234,נובמבר,TRUE
שכירות,אלי גלעד,שכירות,06/12/2022,4680,דצמבר,TRUE
קמפיין פייסבוק,פייסבוק,פרסום,09/12/2022,502,נובמבר,TRUE
קרח,אייס קיובס,קרח,14/12/2022,432,36 שקיות,TRUE
מלאי,שימורי איכות,מלאי,15/12/2022,281,,TRUE
מלאי,היבואן,מלאי,15/12/2022,3000,,TRUE
מלאי,טמפו,מלאי,19/12/2022,1100,,TRUE
מנעול למכולה,הספקה לתעשייה,לוגיסטיקה,22/12/2022,122,,TRUE
מלאי,היבואן,מלאי,27/12/2022,1900,,TRUE
חשבונות,אלי גלעד,מנהלי,28/12/2022,800,יוני - דצמבר כולל. מונה החשמל ב 07/11/2022 היה 1326,TRUE
קמפיין גוגל,גוגל,פרסום,01/01/2023,1581,דצמבר,TRUE
ביטוח לעסק,הפניקס אלמנטרי,מנהלי,05/01/2023,1214,תשלום 3/4,TRUE
שכירות,אלי גלעד,שכירות,06/01/2023,4680,ינואר,TRUE
קמפיין פייסבוק,פייסבוק,פרסום,07/01/2023,759,דצמבר,TRUE
אחסון אתר,MY HOST,מנהלי,07/01/2023,407,שנתי,TRUE
פנסיה לעובדים,כלל,ערייה וממשלה,10/01/2023,143,דצמבר,TRUE
פנסיה לעובדים,אינפיניטי,ערייה וממשלה,10/01/2023,492,דצמבר,TRUE
ביטוח לאומי מעסיקים,ביטוח לאומי,ערייה וממשלה,12/01/2023,500,דצמבר,TRUE
פירות קפואים,פרי הבוסתן,מזון ומשקאות,16/01/2023,260,,TRUE
ראיית חשבון,עידו עמרם,מנהלי,16/01/2023,1287,נובמבר דצמבר,TRUE
מנוי שנתי חשבונית ירוקה,חשבונית ירוקה,מנהלי,17/01/2023,336,,TRUE
בקבוקי זכוכית,י.ש.ר אריזות,לוגיסטיקה,17/01/2023,147,,TRUE
מיץ לימון,סחוטים,מיץ לימון,19/01/2023,234,,TRUE
תדלוק,ביילסול,דלק,19/01/2023,200,רכב של יהודית,TRUE
אקדח מים לצינור,הספקה לתעשייה,לוגיסטיקה,19/01/2023,47,,TRUE
ציוד בר ודקורציה,aliexpress,לוגיסטיקה,20/01/2023,1356,,TRUE
מצרכים לבצ'ים,אושר עד,מזון ומשקאות,24/01/2023,222,,TRUE
חשבונות לאתגר,אתגר פרחים,מנהלי,26/01/2023,500,מד החשמל במכולה נכון לתאריך זה הוא 01002.2,TRUE
קמפיין גוגל,גוגל,פרסום,03/02/2023,1896,ינואר,TRUE
